Código,Descripción,Categoría,Marca,Cantidad (unidades),Unidades/Bulto,Cantidad (bultos),Costo Unitario (USD),Precio Unitario (USD),Valor Total Costo (USD),Valor Total Venta (USD)
003634,MARGARINA GRANJA  454 GR,CESTA BASICA,nan,60084.00,12,5007.00,1.3620,1.7717,81833.30,106450.16
002115,CAFE FLOR DE ARAUCA 200 GR,CESTA BASICA,nan,47961.00,15,3197.40,1.6526,2.3400,79260.97,112228.74
002026,CAFE GOURMET AMANECER 200 GR,CESTA BASICA,nan,46668.00,24,1944.50,1.6928,2.5689,78997.74,119886.83
004998,HARINA DE MAIZ BLANCO GRANJA 900 GR,CESTA BASICA,nan,88000.00,20,4400.00,0.8861,0.8853,77972.90,77908.87
000590,LOMO DE ATUN NATURAL LOS MONJES 160 GR,VIVERES,nan,50016.00,48,1042.00,1.4134,1.9600,70692.47,98031.36
000713,MARGARINA MAVESA 500 GR,CESTA BASICA,nan,35808.00,12,2984.00,1.8720,2.8600,67033.96,102410.88
000717,MARGARINA NELLY 500 GR,CESTA BASICA,nan,36936.00,12,3078.00,1.7943,2.4700,66273.51,91231.92
004749,HARINA DE TRIGO LEUDANTE ROBIN HOOD 900 GR,CESTA BASICA,nan,56239.00,20,2811.95,1.0532,1.2500,59233.40,70298.75
002004,LECHE EN POLVO COMPLETA UPACA 900 GR,CESTA BASICA,nan,8568.00,12,714.00,6.8982,10.8900,59104.08,93305.52
002317,LOMO DE ATUN EN ACEITE LOS MONJES 160 GR,VIVERES,None,42096.00,48,877.00,1.3017,1.7691,54795.36,74472.87
004688,PAPEL HIGIENICO XL GRANJA 400 HOJAS,CUIDADO PERSONAL,nan,45542.00,12,3795.17,1.1734,1.5011,53436.96,68363.98
002221,DETERGENTE EN POLVO 3B+ 1 KG,LIMPIEZA,nan,41472.00,18,2304.00,1.2738,1.7800,52825.53,73820.16
004195,LECHE EN POLVO SUR DEL LAGO 800 GR,CESTA BASICA,nan,10714.00,12,892.83,4.9223,9.6700,52737.46,103604.38
002113,CAFE ARAUCA 200 GR,CESTA BASICA,nan,30614.00,15,2040.93,1.6239,2.3200,49714.80,71024.48
004689,PAPEL HIGIENICO L GRANJA 215 HOJAS,CUIDADO PERSONAL,nan,66348.00,12,5529.00,0.7479,0.6770,49620.57,44916.51
002219,AVENA EN HOJUELAS GRAVENCA 400 GR,VIVERES,nan,47348.00,20,2367.40,0.9818,1.1900,46485.68,56344.12
001950,MARGARINA MAVESA 250 GR,CESTA BASICA,nan,35256.00,24,1469.00,1.2194,1.5500,42990.14,54646.80
001068,ACEITE DE SOYA VATEL 1 LT,CESTA BASICA,nan,16716.00,12,1393.00,2.5405,4.2700,42466.98,71377.32
002129,MARGARINA NELLY 250 GR,CESTA BASICA,nan,37128.00,24,1547.00,1.1009,1.3000,40875.39,48266.40
002112,CAFE FLOR DE ARAUCA 500 GR,CESTA BASICA,nan,11850.00,10,1185.00,3.3612,5.8500,39830.33,69322.50
001255,MAYONESA KRAFT 445 GR,VIVERES,nan,19392.00,12,1616.00,2.0471,3.5950,39697.52,69713.42
004337,ACEITE COMESTIBLE PURO DE SOYA NATUROIL 850 ML,CESTA BASICA,nan,12744.00,12,1062.00,2.8293,3.3100,36056.75,42182.64
004528,CARNE MOLIDA DE SEGUNDA GRANJA BANDEJA 500 GR,CARNICERIA,nan,10145.00,1,10145.00,3.5360,4.7500,35872.26,48188.75
002030,CAFE GOURMET AMANECER 100 GR,CESTA BASICA,nan,33318.00,50,666.36,1.0570,1.3340,35218.78,44445.62
002222,DETERGENTE EN POLVO 3B+ 400 GR,LIMPIEZA,nan,49317.00,45,1095.93,0.6711,0.7300,33096.21,36001.41
002021,SARDINA EN TOMATE MARBONITA 170 GR,VIVERES,nan,52200.00,24,2175.00,0.6102,0.6500,31854.73,33930.00
002020,SARDINA EN ACEITE VEGETAL MARBONITA 170 GR,VIVERES,nan,19584.00,24,816.00,1.6053,0.6500,31438.28,12729.60
002116,CAFE SAN SALVADOR 200 GR,CESTA BASICA,nan,19050.00,15,1270.00,1.6165,2.3400,30794.40,44577.00
002123,MAYONESA MAVESA 175 GR,VIVERES,nan,20256.00,24,844.00,1.5014,2.0000,30413.23,40512.00
000592,ATUN EN AGUA LA ORCHILA 160 GR,VIVERES,nan,26304.00,48,548.00,1.1466,1.5400,30159.54,40508.16
003207,CUBITO MAGGI UND,VIVERES,nan,64000.00,250,256.00,0.4712,0.1500,30154.04,9600.00
002114,CAFE ARAUCA 100 GR,CESTA BASICA,nan,28873.00,30,962.43,1.0187,1.1600,29413.82,33492.68
000541,MAYONESA MAVESA 445 GR,VIVERES,nan,13224.00,12,1102.00,2.1827,3.4100,28863.96,45093.84
001794,SALSA DE TOMATE PAMPERO 397 GR,VIVERES,nan,20688.00,24,862.00,1.3913,1.8385,28783.97,38034.17
001614,ARROZ PREMIUM MARY 900 GR,CESTA BASICA,nan,17496.00,24,729.00,1.6050,2.2500,28080.67,39366.00
004527,CARNE PARA BISTEC GRANJA  BANDEJA 500 GR,CARNICERIA,nan,6561.00,1,6561.00,4.2582,6.1000,27938.31,40022.10
001070,ACEITE VEGETAL VATEL 1 LT,CESTA BASICA,nan,11796.00,12,983.00,2.3189,4.2736,27353.57,50411.96
004196,LECHE EN POLVO SUR DEL LAGO 125 GR,CESTA BASICA,nan,25920.00,24,1080.00,1.0000,1.5600,25920.00,40435.20
004529,CARNE PARA MECHAR GRANJA BANDEJA 500 GR,CARNICERIA,nan,7120.00,1,7120.00,3.5805,5.0000,25493.07,35600.00
004237,SANGRIA TINTA GRANJA 1.75 LT,BODEGON,nan,16092.00,6,2682.00,1.5680,2.5813,25231.88,41538.47
001613,ARROZ ESMERALDA MARY 900 GR,CESTA BASICA,nan,14592.00,24,608.00,1.7086,2.4200,24932.43,35312.64
002029,CAFE GOURMET DELLA NONNA 200 GR,CESTA BASICA,nan,15024.00,24,626.00,1.6062,2.5686,24131.22,38590.70
001375,PASTA VERMICELLI EXTRA ESPECIAL CAPRI 1 KG,CESTA BASICA,nan,19326.00,12,1610.50,1.2410,1.4900,23983.36,28795.74
000591,ATUN EN ACEITE LA ORCHILA 160 GR,VIVERES,None,21587.00,48,449.73,1.1030,1.4112,23811.24,30462.91
004618,HARINA DE TRIGO LEUDANTE LA ESPECIAL 900 GR,CESTA BASICA,nan,22499.00,10,2249.90,1.0000,1.1500,22499.00,25873.85
001419,PASTA TUBITO LISO #3 DEDAL HORIZONTE 1 KG,CESTA BASICA,nan,14947.00,12,1245.58,1.4834,1.7500,22172.28,26157.25
001417,PASTA TORNILLO HORIZONTE 1 KG,CESTA BASICA,nan,14558.00,12,1213.17,1.4626,1.7500,21292.96,25476.50
002173,GALLETAS MARIA PREMIUM CALEDONIA 252 GR,GALLETAS,nan,22200.00,24,925.00,0.9232,1.1709,20495.77,25993.20
002031,CAFE GOURMET DELLA NONNA 100 GR,CESTA BASICA,nan,19300.00,50,386.00,1.0435,1.3334,20139.62,25733.71
002103,DETERGENTE EN POLVO OXY 400 GR,LIMPIEZA,nan,26460.00,45,588.00,0.7557,0.7300,19996.17,19315.80
003955,PASTA DEDALITO PREMIUM LA ESPECIAL 1 KG,SIN CATEGORIA,None,14213.00,12,1184.42,1.4001,1.7500,19899.55,24872.75
002223,DETERGENTE EN POLVO OXY 1 KG,LIMPIEZA,nan,16074.00,18,893.00,1.2049,1.7800,19368.29,28611.72
001162,PAPEL HIGIENICO ROSAL PLUS PAVECA 400 HOJAS 4 ROLLOS,CUIDADO PERSONAL,nan,14095.00,12,1174.58,1.3646,1.9800,19233.69,27908.10
001970,SAL REFINADA FINA PROSANCA 1 KG,VIVERES,nan,44611.00,25,1784.44,0.4305,0.2700,19206.71,12044.97
003808,GALLETAS CLUB SOCIAL ORIGINAL NABISCO 234 GR,GALLETAS,nan,12840.00,20,642.00,1.4140,2.3289,18156.21,29903.63
002055,MAYONESA ARIAS 445 GR,VIVERES,nan,8280.00,12,690.00,2.1871,3.0500,18109.32,25254.00
002022,SAL REFINADA BAHIA 1 KG,VIVERES,nan,23949.00,25,957.96,0.7447,0.7400,17835.29,17722.26
002025,CAFE GOURMET AMANECER 500 GR,CESTA BASICA,nan,5410.00,10,541.00,3.2610,6.3997,17642.06,34622.18
004572,HARINA DE TRIGO TODO USO ROBIN HOOD 900 GR,CESTA BASICA,nan,17759.00,20,887.95,0.9886,1.1300,17556.42,20067.67
002288,MAYONESA KRAFT 175 GR,VIVERES,nan,13128.00,24,547.00,1.3114,1.9117,17215.67,25096.27
005261,HARINA DE MAIZ BLANCO JUANA 900 GR,CESTA BASICA,None,16820.00,20,841.00,1.0071,1.0500,16938.72,17661.00
003628,MORTADELA TURZA 900 GR,CHARCUTERIA,nan,10164.00,12,847.00,1.6658,2.2400,16931.62,22767.36
001965,PAN ARABE EL FAMOSO 380 GR,PANADERIA,nan,16111.00,1,16111.00,1.0000,1.2300,16111.00,19816.53
001528,MORTADELA DE POLLO ESPECIAL DEL CORRAL 1 KG,CHARCUTERIA,nan,7076.00,12,589.67,2.2742,3.5078,16092.52,24820.92
001080,MARGARINA MIRASOL 454 GR,CESTA BASICA,nan,10716.00,12,893.00,1.4486,2.1200,15523.00,22717.92
004530,CARNE PARA GUISAR GRANJA BANDEJA 500 GR,CARNICERIA,nan,4802.00,1,4802.00,3.1943,5.0000,15338.84,24010.00
003211,MAIZ PARA COTUFAS A GRANEL 500 GR,CESTA BASICA,nan,13600.00,1,13600.00,1.1068,1.5730,15052.66,21392.35
001377,PASTA DEDAL EXTRA ESPECIAL CAPRI 1 KG,CESTA BASICA,nan,10741.00,12,895.08,1.3529,1.6700,14531.59,17937.47
001071,ACEITE DE SOYA VATEL 500 ML,CESTA BASICA,nan,10536.00,24,439.00,1.3760,1.9000,14497.94,20018.40
001617,ARROZ DORADO MARY 800 GR,CESTA BASICA,nan,9119.00,30,303.97,1.5629,2.1600,14251.83,19697.04
004918,TOALLAS DE PAPEL GRANJA 80 HOJAS,HOGAR,nan,17064.00,24,711.00,0.8247,0.7500,14072.49,12798.00
001888,REFRESCO COLA NEGRA GLUP 2 LT,BEBIDAS,nan,15120.00,6,2520.00,0.9234,0.9200,13961.73,13910.40
004782,CARAOTAS NEGRAS EL MAIZALITO 400 GR,CESTA BASICA,nan,11610.00,30,387.00,1.1956,1.5400,13880.51,17879.40
001420,PASTA CODO HORIZONTE 1 KG,CESTA BASICA,nan,13658.00,12,1138.17,1.0000,1.7500,13658.00,23901.50
002111,CAFE SAN SALVADOR 500 GR,CESTA BASICA,nan,4239.00,10,423.90,3.1589,5.8500,13390.76,24798.15
001672,MARGARINA ALBECA RENDIDORA 400 GR,CESTA BASICA,nan,8877.00,12,739.75,1.4276,2.0400,12672.38,18109.08
002117,CAFE ARAUCA 50 GR,CESTA BASICA,nan,16920.00,60,282.00,0.7472,0.5800,12643.08,9813.60
002233,VINAGRE GRANJA 500 ML,VIVERES,nan,18204.00,12,1517.00,0.6906,0.5800,12572.20,10558.32
001418,PASTA PLUMA HORIZONTE 1 KG,CESTA BASICA,nan,8544.00,12,712.00,1.4446,1.7500,12342.87,14952.00
001079,MARGARINA MIRASOL 227 GR,CESTA BASICA,nan,12648.00,24,527.00,0.9703,1.1800,12272.74,14924.64
003236,PAPELON,CESTA BASICA,nan,15040.00,24,626.67,0.8107,0.7600,12192.98,11430.40
005089,PAN ARABE GRANJA 320 GR,PANADERIA,None,12893.00,1,12893.00,0.9337,0.9900,12037.64,12764.07
001122,GALLETAS MARIA SELECTA PUIG 250 GR,GALLETAS,nan,11568.00,24,482.00,0.9879,1.2500,11427.58,14460.00
003748,SALSA SOYA/INGLESA/AJO TRIPACK GRANJA 150 ML,VIVERES,None,10210.00,10,1021.00,1.1144,1.3600,11377.81,13885.60
003138,CONDIMENTOS SURTIDOS ALIS 100 GR,VIVERES,None,19400.00,200,97.00,0.5821,0.4900,11293.19,9506.00
002147,CREMA DENTAL ICE COOL MINT ALIDENT 100 GR,CUIDADO PERSONAL,nan,16800.00,12,1400.00,0.6508,1.1577,10934.21,19449.62
002246,MAYONESA WILOS 445 GR,VIVERES,nan,5520.00,12,460.00,1.9694,3.0400,10870.95,16780.80
001168,PAPEL HIGIENICO ROSAL PLUS PAVECA 215 HOJAS 4 ROLLOS,CUIDADO PERSONAL,nan,12874.00,12,1072.83,0.8390,0.8703,10801.86,11204.39
001380,PASTA TORNILLO EXTRA ESPECIAL CAPRI 1 KG,CESTA BASICA,nan,8064.00,12,672.00,1.3129,1.6700,10587.57,13466.88
002148,CREMA DENTAL ALIENTO FRESCO ALIDENT 100 GR,CUIDADO PERSONAL,nan,14400.00,12,1200.00,0.7248,1.1623,10436.57,16737.14
002027,CAFE GOURMET AMANECER 250 GR,CESTA BASICA,nan,4740.00,12,395.00,2.1910,3.6307,10385.43,17209.52
002014,LAVAPLATOS LIQUIDO TK 1 LT,LIMPIEZA,nan,8820.00,12,735.00,1.1743,1.6805,10356.93,14821.90
001684,PASTA VERMICELLI PREMIUM SINDONI 1 KG,CESTA BASICA,nan,7884.00,12,657.00,1.3031,1.6500,10273.59,13008.60
003627,MORTADELA TURZA 500 GR,CHARCUTERIA,nan,9240.00,12,770.00,1.1061,1.3500,10220.58,12474.00
001475,LECHE LIQUIDA COMPLETA PURISIMA 1 LT,CESTA BASICA,nan,4452.00,12,371.00,2.1494,2.9400,9569.23,13088.88
001803,DIABLITOS EMPAQUE ALUMINIO UNDERWOOD 50 GR,CHARCUTERIA,nan,8640.00,48,180.00,1.0926,1.4500,9439.87,12528.00
003208,FRIJOL BAYO A GRANEL 500 GR,CESTA BASICA,nan,12700.00,1,12700.00,0.7404,0.7300,9402.58,9271.00
004522,CHURRASCO SOLOMO GRANJA BANDEJA 500 GR,CARNICERIA,nan,1470.00,1,1470.00,6.2853,7.1165,9239.38,10461.21
002247,ADEREZO A BASE DE MAYONESA WILOS 445 GR,VIVERES,nan,7356.00,12,613.00,1.2056,1.4800,8868.14,10886.88
002238,SALSA SOYA/INGLESA/AJO TRIPACK GRANJA 300 ML,VIVERES,None,5796.00,4,1449.00,1.5095,2.1400,8749.29,12403.44
001421,PASTA VERMICELLI ALLEGRI 1 KG,CESTA BASICA,nan,6636.00,12,553.00,1.3068,1.6400,8671.81,10883.04
001393,GALLETAS CHARMY FRESA CALEDONIA 192 GR,GALLETAS,nan,8400.00,24,350.00,1.0129,1.3600,8508.69,11424.00
005291,SARDINA EN ACEITE VEGETAL MONARCA 170 GR,SIN CATEGORIA,None,12960.00,24,540.00,0.6559,0.6118,8500.96,7928.41
000657,CREMA DENTAL TRIPLE ACCION COLGATE 150 ML,CUIDADO PERSONAL,nan,4608.00,72,64.00,1.8391,3.6017,8474.41,16596.73
001161,PAPEL HIGIENICO ROSAL PLUS PAVECA 180 HOJAS 4 ROLLOS,CUIDADO PERSONAL,nan,10845.00,12,903.75,0.7809,0.7900,8469.30,8567.55
004101,HARINA DE TRIGO LEUDANTE MARY 900 GR,CESTA BASICA,nan,7000.00,20,350.00,1.2057,1.6000,8439.71,11200.00
001379,PASTA RIGATONI EXTRA ESPECIAL CAPRI 1 KG,CESTA BASICA,nan,6257.00,12,521.42,1.3144,1.6700,8224.11,10449.19
002028,CAFE GOURMET DELLA NONNA 500 GR,CESTA BASICA,nan,2590.00,10,259.00,3.1573,6.3914,8177.36,16553.75
001413,HARINA DE TRIGO LEUDANTE DULCE MAR 1 KG,CESTA BASICA,nan,7337.00,10,733.70,1.1130,1.4000,8166.09,10271.80
000179,CASABE NATURAL PAQUETE,PANADERIA,nan,13601.00,50,272.02,0.5977,0.5400,8128.81,7344.54
002392,JABON ANTIBACTERIAL AVENA+PREBIOTICO  PROTEX 110 GR,CUIDADO PERSONAL,nan,8280.00,72,115.00,0.9784,1.3867,8100.97,11482.26
002012,SUAVIZANTE TK 1 LT,LIMPIEZA,nan,7224.00,12,602.00,1.1162,1.5094,8063.07,10903.72
001396,GALLETAS TIP TOP CHOCOLATE CALEDONIA 96 GR,GALLETAS,nan,10368.00,48,216.00,0.7760,0.8400,8045.49,8709.12
001089,CERVEZA RETORNABLE CAJA ZULIA 222 ML,BODEGON,nan,647.00,1,647.00,12.3925,19.3197,8017.94,12499.82
004276,JABON ANTIBACTERIAL ACTIVE PROTECTION COVEX 115 GR,CUIDADO PERSONAL,nan,9360.00,72,130.00,0.8489,1.0095,7945.60,9448.75
001593,CERVEZA EN LATA PILSEN POLAR 355 ML,BODEGON,nan,8412.00,24,350.50,0.9309,0.9900,7830.49,8327.88
003061,JABON GRANADA DULCE MICELAR DALAN 125 GR,CUIDADO PERSONAL,nan,8928.00,72,124.00,0.8686,1.0506,7754.98,9380.08
001090,DIABLITOS UNDERWOOD 54 GR,CHARCUTERIA,nan,6888.00,24,287.00,1.1136,1.4500,7670.76,9987.60
003060,JABON MICELAR PEPINO FRESCO DALAN 125 GR,CUIDADO PERSONAL,nan,8785.00,72,122.01,0.8669,1.0506,7615.52,9229.72
002107,LAVAPLATOS EN CREMA PREMIO 250 GR,LIMPIEZA,nan,8064.00,36,224.00,0.9438,1.1713,7610.86,9445.17
001610,LENTEJAS MARY 400 GR,CESTA BASICA,None,5400.00,30,180.00,1.4081,2.3700,7603.60,12798.00
001106,DIABLITOS UNDERWOOD 115 GR,CHARCUTERIA,nan,4464.00,24,186.00,1.6732,2.5100,7469.12,11204.64
005292,SARDINA EN SALSA DE TOMATE MONARCA 170 GR,SIN CATEGORIA,None,11976.00,24,499.00,0.6205,0.6128,7430.93,7338.51
004786,LENTEJAS EL MAIZALITO 400 GR,CESTA BASICA,nan,5250.00,30,175.00,1.4040,2.0300,7371.08,10657.50
003832,PASTA CORTA TORNILLO PREMIUM LA ESPECIAL 1 KG,CESTA BASICA,nan,4824.00,12,402.00,1.5173,1.7500,7319.26,8442.00
002017,CLORO TK 1 LT,LIMPIEZA,nan,7872.00,12,656.00,0.9041,1.0500,7117.04,8265.60
001163,PAPEL HIGIENICO ROSAL PLUS PAVECA 300 HOJAS 4 ROLLOS,CUIDADO PERSONAL,nan,6284.00,12,523.67,1.1245,1.5509,7066.60,9745.77
001159,TOALLIN MULTIUSO ROSAL TOWELS PAVECA 80 HOJAS,HOGAR,nan,7060.00,20,353.00,1.0000,1.0500,7060.00,7413.00
001646,SALSA DE TOMATE HEINZ 397 GR,VIVERES,None,5136.00,24,214.00,1.3620,1.9400,6995.12,9963.84
005305,LECHE EN POLVO COMPLETA LUMALAC 400 GR,SIN CATEGORIA,None,2520.00,24,105.00,2.7027,4.6000,6810.68,11592.00
001362,PASTA VERMICELLI PREMIUM CAPRI 1 KG,CESTA BASICA,nan,5022.00,12,418.50,1.3453,1.7700,6756.13,8888.94
004768,HARINA DE TRIGO TODO USO LA ESPECIAL 900 GR,CESTA BASICA,nan,7060.00,10,706.00,0.9382,1.0400,6623.51,7342.40
001867,QUESO FUNDIDO PARA UNTAR DALVITO 200 GR,VIVERES,nan,3624.00,12,302.00,1.8157,2.9587,6580.11,10722.30
001097,DIABLITOS UNDERWOOD 100 GR,CHARCUTERIA,nan,4056.00,24,169.00,1.6204,2.5100,6572.52,10180.56
002237,SALSA DE AJO GRANJA 150 ML,VIVERES,None,9944.00,20,497.20,0.6519,0.4399,6482.06,4374.05
001973,MOSTAZA GRANJA 260 GR,VIVERES,nan,7160.00,20,358.00,0.8973,0.9400,6424.91,6730.40
001175,ADOBO COMPLETO LA COMADRE 200 GR,VIVERES,nan,4728.00,24,197.00,1.3432,1.9399,6350.80,9171.74
001399,GALLETAS TIP TOP MANI CALEDONIA 96 GR,GALLETAS,nan,8448.00,48,176.00,0.7507,0.8400,6342.25,7096.32
002235,SALSA DE SOYA GRANJA 150 ML,VIVERES,nan,9696.00,20,484.80,0.6454,0.4400,6257.76,4266.24
000641,CREMA DENTAL MENTA COLGATE 100 ML,CUIDADO PERSONAL,nan,4032.00,72,56.00,1.5487,2.3004,6244.51,9275.23
000656,CREMA DENTAL TRIPLE ACCION COLGATE 100 ML,CUIDADO PERSONAL,nan,3888.00,72,54.00,1.6022,2.4591,6229.25,9560.97
003509,PASTA PLUMITA SINDONI 1 KG,CESTA BASICA,nan,4669.00,12,389.08,1.3190,1.8700,6158.20,8731.03
005144,JABON EN BARRA CITRUS GRANJA 90 GR,CUIDADO PERSONAL,nan,9360.00,180,52.00,0.6528,0.8789,6109.90,8226.19
004275,JABON ANTIBACTERIAL FRESH PROTECTION COVEX 115 GR,CUIDADO PERSONAL,nan,7272.00,72,101.00,0.8388,1.0095,6099.39,7341.38
001748,HARINA DE TRIGO LEUDANTE LA LUCHA 900 GR,CESTA BASICA,nan,5900.00,20,295.00,1.0336,1.3100,6098.24,7729.00
002414,GALLETAS DUCALES NOEL 294 GR,GALLETAS,nan,4656.00,24,194.00,1.3036,1.7500,6069.47,8148.00
001609,CARAOTAS NEGRAS MARY 400 GR,CESTA BASICA,nan,5160.00,30,172.00,1.1732,1.6400,6053.46,8462.40
001111,MORTADELA ESPECIAL PLUMROSE 1 KG,CHARCUTERIA,nan,2964.00,12,247.00,2.0392,3.1000,6044.07,9188.40
002011,LAVAPLATOS LIQUIDO TK 500 ML,LIMPIEZA,nan,6696.00,12,558.00,0.9023,1.0507,6042.00,7035.23
003062,JABON MICELAR FRUTA DE DRAGON DALAN 125 GR,CUIDADO PERSONAL,nan,7172.00,72,99.61,0.8365,1.0504,5999.19,7533.30
001378,PASTA PLUMA EXTRA ESPECIAL CAPRI 1 KG,CESTA BASICA,nan,3845.00,12,320.42,1.5600,1.6700,5998.20,6421.15
004274,JABON ANTIBACTERIAL COOL PROTECTION COVEX 115 GR,CUIDADO PERSONAL,nan,7053.00,72,97.96,0.8480,1.0095,5980.86,7119.91
001618,CREMA DE ARROZ MARY 450 GR,INFANTIL,nan,6970.00,24,290.42,0.8551,0.9900,5960.23,6900.30
000985,REFRESCO PEPSI 2 LT,BEBIDAS,nan,6148.00,6,1024.67,0.9692,1.0300,5958.42,6332.44
000773,CERVEZA PILSEN RETORNABLE CAJA POLAR 222 ML,BODEGON,nan,480.00,1,480.00,12.2972,19.1900,5902.67,9211.20
001869,QUESO UNTABLE TWISTIKESO 200 GR,VIVERES,nan,5718.00,12,476.50,1.0250,2.5173,5860.95,14393.73
001820,LECHE CONDENSADA NATULAC 397 GR,REPOSTERIA,None,2544.00,24,106.00,2.3026,3.3800,5857.74,8598.72
002075,MAYONESA ARIAS 175 GR,VIVERES,nan,4776.00,12,398.00,1.2226,1.6900,5839.17,8071.44
001811,CERVEZA EN LATA ZULIA 295 ML,BODEGON,nan,6504.00,24,271.00,0.8911,0.8891,5796.01,5782.73
001034,CEREAL FRUTY AROS MAIZORITOS 240 GR,VIVERES,nan,3696.00,12,308.00,1.5647,2.6297,5783.18,9719.38
001793,SALSA DE TOMATE PAMPERO 198 GR,VIVERES,nan,5280.00,24,220.00,1.0849,1.3200,5728.36,6969.60
001024,CEREAL CRONCH FLAKES MAIZORITOS 300 GR,VIVERES,nan,3708.00,12,309.00,1.5420,2.5000,5717.71,9270.00
004817,LENTEJAS GRAVENCA 400 GR,CESTA BASICA,nan,4680.00,20,234.00,1.2192,1.6400,5706.04,7675.20
005019,MAYONESA DOYPACK GRANJA 180 GR,VIVERES,None,6432.00,24,268.00,0.8809,0.9406,5666.12,6049.84
001682,PASTA DITALINI PREMIUM SINDONI 1 KG,CESTA BASICA,nan,3488.00,12,290.67,1.6234,1.8700,5662.44,6522.56
000892,SOPA DE POLLO CON FIDEOS MAGGI 62 GR,VIVERES,nan,6624.00,72,92.00,0.8463,0.9600,5605.66,6359.04
002013,DESINFECTANTE TK 1 LT,LIMPIEZA,nan,6432.00,12,536.00,0.8531,0.8890,5486.97,5717.82
004535,JABON EN BARRA TRADICIONAL ROSE DALAN 280 GR,CUIDADO PERSONAL,nan,4416.00,24,184.00,1.2350,1.7208,5453.82,7598.95
000760,GALLETAS CHIPS AHOY NABISCO 168 GR,GALLETAS,nan,3744.00,32,117.00,1.4209,2.4721,5319.95,9255.43
002224,LICOR SECO A BASE DE RON TUCACAS 1 LT,BODEGON,nan,3744.00,12,312.00,1.4158,1.9400,5300.71,7263.36
001165,SERVILLETA ZZZ PEQUEÑA PAVECA 160 UND,HOGAR,nan,6040.00,20,302.00,0.8711,0.7409,5261.51,4475.33
001121,GALLETA MARILU CHOCOLATE PUIG 216 GR,SIN CATEGORIA,None,4416.00,24,184.00,1.1908,1.6993,5258.45,7504.03
003776,TOALLITAS HUMEDAS OKI BASIC 100 UND,INFANTIL,nan,4488.00,24,187.00,1.1647,1.6899,5227.17,7584.19
000187,MANZANA ROJA UND,FRUVER,None,5939.00,1,5939.00,0.8760,1.0300,5202.37,6117.17
